order_id,order_date,customer_id,customer_name,region,product_category,product_name,quantity,unit_price,discount_pct,sales_rep,status,revenue
1001,2024-01-03,C0042,Hartley Supplies Ltd,North,Office Supplies,Stapler Pro 200,3,12.99,0,Sarah Mitchell,Completed,38.97
1002,2024-01-05,C0017,Brennan & Co.,South,Technology,Wireless Mouse X1,5,24.5,10,James Ford,Completed,110.25
1003,2024-01-05,C0091,Greenfield Corp,East,Furniture,Ergonomic Chair,1,349.0,0,Amy Chen,Completed,349.0
1004,2024-01-08,C0042,Hartley Supplies Ltd,North,Technology,USB Hub 7-Port,2,34.99,5,Sarah Mitchell,Completed,66.48
1005,2024-01-09,C0055,Pinnacle Media,West,Office Supplies,Printer Paper A4 (500pk),10,8.75,0,Daniel Ray,Completed,87.5
1006,2024-01-10,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,3,24.5,0,James Ford,Completed,73.5
1007,2024-01-15,C0078,Ashford Group,East,Furniture,Standing Desk Pro,2,599.0,15,Amy Chen,Completed,1018.3
1008,2024-01-17,C0091,Greenfield Corp,East,Office Supplies,Sticky Notes Bulk Pack,8,4.2,0,Amy Chen,Completed,33.6
1009,2024-01-19,C0019,Langley Partners,North,Technology,Laptop Stand Adjustable,4,49.99,10,Sarah Mitchell,Completed,179.96
1010,2024-01-22,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,1,34.99,0,Daniel Ray,Completed,34.99
1011,2024-01-24,C0033,Morrison Digital,South,Furniture,Ergonomic Chair,3,349.0,5,James Ford,Completed,994.65
1012,2024-01-28,C0017,Brennan & Co.,South,Office Supplies,Stapler Pro 200,2,12.99,0,James Ford,Completed,25.98
1013,2024-02-01,C0042,Hartley Supplies Ltd,North,Technology,Wireless Mouse X1,10,24.5,15,Sarah Mitchell,Completed,208.25
1014,2024-02-03,C0101,Nexus Retail,West,Office Supplies,Printer Paper A4 (500pk),20,8.75,5,Daniel Ray,Completed,166.25
1015,2024-02-06,C0019,Langley Partners,North,Furniture,Standing Desk Pro,1,599.0,0,Sarah Mitchell,Completed,599.0
1017,2024-02-09,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,6,49.99,0,Amy Chen,Completed,299.94
1018,2024-02-11,C0101,Nexus Retail,West,Technology,Wireless Mouse X1,8,24.5,10,Daniel Ray,Completed,176.4
1019,2024-02-13,C0055,Pinnacle Media,West,Office Supplies,Sticky Notes Bulk Pack,15,4.2,0,Daniel Ray,Completed,63.0
1020,2024-02-16,C0033,Morrison Digital,South,Technology,USB Hub 7-Port,4,34.99,0,James Ford,Completed,139.96
1021,2024-02-18,C0042,Hartley Supplies Ltd,North,Office Supplies,Printer Paper A4 (500pk),12,8.75,0,Sarah Mitchell,Completed,105.0
1022,2024-02-21,C0017,Brennan & Co.,South,Technology,Laptop Stand Adjustable,2,49.99,5,James Ford,Completed,94.98
1023,2024-02-25,C0091,Greenfield Corp,East,Furniture,Ergonomic Chair,2,349.0,10,Amy Chen,Completed,628.2
1024,2024-02-27,C0101,Nexus Retail,West,Furniture,Standing Desk Pro,3,599.0,0,Daniel Ray,Completed,1797.0
1025,2024-03-01,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,5,34.99,5,Daniel Ray,Completed,166.2
1026,2024-03-04,C0019,Langley Partners,North,Office Supplies,Stapler Pro 200,6,12.99,0,Sarah Mitchell,Completed,77.94
1027,2024-03-06,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,7,24.5,0,James Ford,Completed,171.5
1028,2024-03-08,C0042,Hartley Supplies Ltd,North,Furniture,Ergonomic Chair,1,349.0,0,Sarah Mitchell,Completed,349.0
1029,2024-03-11,C0078,Ashford Group,East,Office Supplies,Printer Paper A4 (500pk),25,8.75,10,Amy Chen,Completed,196.88
1030,2024-03-13,C0101,Nexus Retail,West,Technology,Laptop Stand Adjustable,3,49.99,0,Daniel Ray,Completed,149.97
1031,2024-03-15,C0017,Brennan & Co.,South,Office Supplies,Sticky Notes Bulk Pack,20,4.2,0,James Ford,Completed,84.0
1032,2024-03-18,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,4,24.5,5,Amy Chen,Completed,93.1
1033,2024-03-20,C0055,Pinnacle Media,West,Furniture,Standing Desk Pro,2,599.0,15,Daniel Ray,Completed,1018.3
1034,2024-03-22,C0019,Langley Partners,North,Technology,USB Hub 7-Port,3,34.99,0,Sarah Mitchell,Completed,104.97
1035,2024-03-25,C0042,Hartley Supplies Ltd,North,Office Supplies,Printer Paper A4 (500pk),8,8.75,0,Sarah Mitchell,Completed,70.0
1036,2024-03-27,C0033,Morrison Digital,South,Furniture,Ergonomic Chair,2,349.0,0,James Ford,Completed,698.0
1037,2024-03-28,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,5,49.99,10,Amy Chen,Completed,224.96
1038,2024-04-01,C0101,Nexus Retail,West,Office Supplies,Stapler Pro 200,10,12.99,5,Daniel Ray,Completed,123.4
1039,2024-04-03,C0017,Brennan & Co.,South,Technology,Wireless Mouse X1,6,24.5,0,James Ford,Completed,147.0
1040,2024-04-05,C0055,Pinnacle Media,West,Office Supplies,Printer Paper A4 (500pk),30,8.75,0,Daniel Ray,Completed,262.5
1041,2024-04-08,C0042,Hartley Supplies Ltd,North,Furniture,Standing Desk Pro,1,599.0,10,Sarah Mitchell,Completed,539.1
1042,2024-04-10,C0091,Greenfield Corp,East,Technology,USB Hub 7-Port,3,34.99,0,Amy Chen,Completed,104.97
1043,2024-04-12,C0019,Langley Partners,North,Office Supplies,Sticky Notes Bulk Pack,12,4.2,0,Sarah Mitchell,Completed,50.4
1044,2024-04-15,C0033,Morrison Digital,South,Technology,Laptop Stand Adjustable,2,49.99,5,James Ford,Completed,94.98
1045,2024-04-17,C0078,Ashford Group,East,Furniture,Ergonomic Chair,4,349.0,0,Amy Chen,Completed,1396.0
1046,2024-04-19,C0101,Nexus Retail,West,Technology,Wireless Mouse X1,15,24.5,15,Daniel Ray,Completed,312.38
1047,2024-04-22,C0017,Brennan & Co.,South,Office Supplies,Printer Paper A4 (500pk),5,8.75,0,James Ford,Completed,43.75
1048,2024-04-24,C0042,Hartley Supplies Ltd,North,Technology,Laptop Stand Adjustable,3,49.99,0,Sarah Mitchell,Completed,149.97
1049,2024-04-26,C0055,Pinnacle Media,West,Furniture,Standing Desk Pro,1,599.0,0,Daniel Ray,Completed,599.0
1050,2024-04-29,C0091,Greenfield Corp,East,Office Supplies,Stapler Pro 200,6,12.99,5,Amy Chen,Completed,74.04
1051,2024-05-02,C0019,Langley Partners,North,Technology,Wireless Mouse X1,8,24.5,0,Sarah Mitchell,Completed,196.0
1052,2024-05-05,C0033,Morrison Digital,South,Office Supplies,Sticky Notes Bulk Pack,10,4.2,0,James Ford,Completed,42.0
1053,2024-05-07,C0078,Ashford Group,East,Technology,USB Hub 7-Port,4,34.99,10,Amy Chen,Completed,125.96
1054,2024-05-09,C0101,Nexus Retail,West,Furniture,Ergonomic Chair,2,349.0,5,Daniel Ray,Completed,663.1
1055,2024-05-12,C0042,Hartley Supplies Ltd,North,Technology,Wireless Mouse X1,6,24.5,0,Sarah Mitchell,Completed,147.0
1056,2024-05-14,C0017,Brennan & Co.,South,Furniture,Standing Desk Pro,2,599.0,0,James Ford,Completed,1198.0
1057,2024-05-16,C0055,Pinnacle Media,West,Technology,Laptop Stand Adjustable,4,49.99,5,Daniel Ray,Completed,189.96
1058,2024-05-19,C0091,Greenfield Corp,East,Office Supplies,Printer Paper A4 (500pk),18,8.75,0,Amy Chen,Completed,157.5
1059,2024-05-21,C0019,Langley Partners,North,Technology,USB Hub 7-Port,2,34.99,0,Sarah Mitchell,Completed,69.98
1060,2024-05-23,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,5,24.5,10,James Ford,Completed,110.25
1061,2024-05-26,C0078,Ashford Group,East,Furniture,Ergonomic Chair,3,349.0,0,Amy Chen,Completed,1047.0
1062,2024-05-28,C0101,Nexus Retail,West,Office Supplies,Stapler Pro 200,8,12.99,0,Daniel Ray,Completed,103.92
1063,2024-05-30,C0042,Hartley Supplies Ltd,North,Office Supplies,Sticky Notes Bulk Pack,10,4.2,5,Sarah Mitchell,Completed,39.9
1064,2024-06-02,C0017,Brennan & Co.,South,Technology,Laptop Stand Adjustable,3,49.99,0,James Ford,Completed,149.97
1065,2024-06-04,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,6,34.99,0,Daniel Ray,Completed,209.94
1066,2024-06-06,C0091,Greenfield Corp,East,Furniture,Standing Desk Pro,1,599.0,10,Amy Chen,Completed,539.1
1067,2024-06-09,C0019,Langley Partners,North,Office Supplies,Printer Paper A4 (500pk),15,8.75,5,Sarah Mitchell,Completed,124.69
1068,2024-06-11,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,4,24.5,0,James Ford,Completed,98.0
1069,2024-06-13,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,2,49.99,0,Amy Chen,Completed,99.98
1070,2024-06-16,C0101,Nexus Retail,West,Furniture,Ergonomic Chair,5,349.0,5,Daniel Ray,Completed,1657.75
1071,2024-06-18,C0042,Hartley Supplies Ltd,North,Office Supplies,Stapler Pro 200,4,12.99,0,Sarah Mitchell,Completed,51.96
1072,2024-06-20,C0017,Brennan & Co.,South,Technology,USB Hub 7-Port,3,34.99,10,James Ford,Completed,94.47
1073,2024-06-23,C0055,Pinnacle Media,West,Office Supplies,Sticky Notes Bulk Pack,20,4.2,0,Daniel Ray,Completed,84.0
1074,2024-06-25,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,5,24.5,0,Amy Chen,Completed,122.5
1075,2024-06-27,C0019,Langley Partners,North,Furniture,Standing Desk Pro,2,599.0,15,Sarah Mitchell,Completed,1018.3
1077,2024-07-01,C0033,Morrison Digital,South,Technology,Laptop Stand Adjustable,4,49.99,0,James Ford,Completed,199.96
1078,2024-07-03,C0078,Ashford Group,East,Office Supplies,Printer Paper A4 (500pk),20,8.75,0,Amy Chen,Completed,175.0
1079,2024-07-05,C0101,Nexus Retail,West,Technology,USB Hub 7-Port,7,34.99,5,Daniel Ray,Completed,232.68
1080,2024-07-08,C0042,Hartley Supplies Ltd,North,Furniture,Ergonomic Chair,2,349.0,0,Sarah Mitchell,Completed,698.0
1081,2024-07-10,C0017,Brennan & Co.,South,Office Supplies,Stapler Pro 200,3,12.99,0,James Ford,Completed,38.97
1082,2024-07-12,C0055,Pinnacle Media,West,Technology,Wireless Mouse X1,9,24.5,10,Daniel Ray,Completed,198.45
1083,2024-07-15,C0091,Greenfield Corp,East,Office Supplies,Sticky Notes Bulk Pack,12,4.2,5,Amy Chen,Completed,47.88
1084,2024-07-17,C0019,Langley Partners,North,Technology,Laptop Stand Adjustable,5,49.99,0,Sarah Mitchell,Completed,249.95
1085,2024-07-19,C0033,Morrison Digital,South,Furniture,Standing Desk Pro,1,599.0,0,James Ford,Completed,599.0
1086,2024-07-22,C0078,Ashford Group,East,Technology,Wireless Mouse X1,6,24.5,0,Amy Chen,Completed,147.0
1087,2024-07-24,C0101,Nexus Retail,West,Office Supplies,Printer Paper A4 (500pk),25,8.75,5,Daniel Ray,Completed,207.81
1088,2024-07-26,C0042,Hartley Supplies Ltd,North,Technology,USB Hub 7-Port,4,34.99,0,Sarah Mitchell,Completed,139.96
1089,2024-07-29,C0017,Brennan & Co.,South,Furniture,Ergonomic Chair,2,349.0,10,James Ford,Completed,628.2
1090,2024-07-31,C0055,Pinnacle Media,West,Technology,Laptop Stand Adjustable,3,49.99,0,Daniel Ray,Completed,149.97
1091,2024-08-02,C0091,Greenfield Corp,East,Office Supplies,Stapler Pro 200,5,12.99,0,Amy Chen,Completed,64.95
1092,2024-08-05,C0019,Langley Partners,North,Technology,Wireless Mouse X1,7,24.5,5,Sarah Mitchell,Completed,162.92
1093,2024-08-07,C0033,Morrison Digital,South,Technology,USB Hub 7-Port,5,34.99,0,James Ford,Completed,174.95
1094,2024-08-09,C0078,Ashford Group,East,Furniture,Standing Desk Pro,3,599.0,0,Amy Chen,Completed,1797.0
1095,2024-08-12,C0101,Nexus Retail,West,Office Supplies,Sticky Notes Bulk Pack,15,4.2,0,Daniel Ray,Completed,63.0
1096,2024-08-14,C0042,Hartley Supplies Ltd,North,Technology,Laptop Stand Adjustable,2,49.99,10,Sarah Mitchell,Completed,89.98
1097,2024-08-16,C0017,Brennan & Co.,South,Office Supplies,Printer Paper A4 (500pk),10,8.75,0,James Ford,Completed,87.5
1098,2024-08-19,C0055,Pinnacle Media,West,Furniture,Ergonomic Chair,2,349.0,5,Daniel Ray,Completed,663.1
1099,2024-08-21,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,4,24.5,0,Amy Chen,Completed,98.0
1100,2024-08-23,C0019,Langley Partners,North,Office Supplies,Stapler Pro 200,4,12.99,0,Sarah Mitchell,Completed,51.96
